using RM dataset, 
eswc model: 1,548,002
gamback: 1622702

(no filters)
data=/home/zz/Work/chase/data/ml/ml/rm/labeled_data_all.csv, model=google, norm=0, vocab=2165,oov=398
data=/home/zz/Work/chase/data/ml/ml/rm/labeled_data_all.csv, model=tw, norm=0, vocab=2165,oov=51
data=/home/zz/Work/chase/data/ml/ml/rm/labeled_data_all.csv, model=glv, norm=0, vocab=2165,oov=141
data=/home/zz/Work/chase/data/ml/ml/rm/labeled_data_all.csv, model=all, norm=0, vocab=2165,oov=44
data=/home/zz/Work/chase/data/ml/ml/rm/labeled_data_all.csv, model=google, norm=1, vocab=2291,oov=84
data=/home/zz/Work/chase/data/ml/ml/rm/labeled_data_all.csv, model=tw, norm=1, vocab=2291,oov=26
data=/home/zz/Work/chase/data/ml/ml/rm/labeled_data_all.csv, model=glv, norm=1, vocab=2291,oov=29
data=/home/zz/Work/chase/data/ml/ml/rm/labeled_data_all.csv, model=all, norm=1, vocab=2291,oov=13
data=/home/zz/Work/chase/data/ml/ml/dt/labeled_data_all_2.csv, model=google, norm=0, vocab=7342,oov=1952
data=/home/zz/Work/chase/data/ml/ml/dt/labeled_data_all_2.csv, model=tw, norm=0, vocab=7342,oov=276
data=/home/zz/Work/chase/data/ml/ml/dt/labeled_data_all_2.csv, model=glv, norm=0, vocab=7342,oov=749
data=/home/zz/Work/chase/data/ml/ml/dt/labeled_data_all_2.csv, model=all, norm=0, vocab=7342,oov=251
data=/home/zz/Work/chase/data/ml/ml/dt/labeled_data_all_2.csv, model=google, norm=1, vocab=8290,oov=717
data=/home/zz/Work/chase/data/ml/ml/dt/labeled_data_all_2.csv, model=tw, norm=1, vocab=8290,oov=60
data=/home/zz/Work/chase/data/ml/ml/dt/labeled_data_all_2.csv, model=glv, norm=1, vocab=8290,oov=167
data=/home/zz/Work/chase/data/ml/ml/dt/labeled_data_all_2.csv, model=all, norm=1, vocab=8290,oov=31
data=/home/zz/Work/chase/data/ml/ml/w/labeled_data_all.csv, model=google, norm=0, vocab=5887,oov=1630
data=/home/zz/Work/chase/data/ml/ml/w/labeled_data_all.csv, model=tw, norm=0, vocab=5887,oov=323
data=/home/zz/Work/chase/data/ml/ml/w/labeled_data_all.csv, model=glv, norm=0, vocab=5887,oov=751
data=/home/zz/Work/chase/data/ml/ml/w/labeled_data_all.csv, model=all, norm=0, vocab=5887,oov=303
data=/home/zz/Work/chase/data/ml/ml/w/labeled_data_all.csv, model=google, norm=1, vocab=7172,oov=414
data=/home/zz/Work/chase/data/ml/ml/w/labeled_data_all.csv, model=tw, norm=1, vocab=7172,oov=62
data=/home/zz/Work/chase/data/ml/ml/w/labeled_data_all.csv, model=glv, norm=1, vocab=7172,oov=144
data=/home/zz/Work/chase/data/ml/ml/w/labeled_data_all.csv, model=all, norm=1, vocab=7172,oov=39
data=/home/zz/Work/chase/data/ml/ml/w+ws/labeled_data_all.csv, model=google, norm=0, vocab=6430,oov=1831
data=/home/zz/Work/chase/data/ml/ml/w+ws/labeled_data_all.csv, model=tw, norm=0, vocab=6430,oov=383
data=/home/zz/Work/chase/data/ml/ml/w+ws/labeled_data_all.csv, model=glv, norm=0, vocab=6430,oov=863
data=/home/zz/Work/chase/data/ml/ml/w+ws/labeled_data_all.csv, model=all, norm=0, vocab=6430,oov=361
data=/home/zz/Work/chase/data/ml/ml/w+ws/labeled_data_all.csv, model=google, norm=1, vocab=7886,oov=489
