,ds,Unnamed: 1,count,hate_speech,offensive_language,neither,class,tweet,id
26842,td,26870,0,0,0,0,2,she was telling me about this kid who's soles of his shoes are falling off. I am going to get him some shoes. hope his parents don't get mad,
15344,td,15372,0,0,0,0,1,Mother asked what I wanted for Christmas this year. Replied with for her to not go crazy and my sister to not be a bitch.,
8611,td,8639,0,0,0,0,1,@is_anyone_up @Huntermoore fuck my tight pussy until I'm dripping wet,
1109,c,1117,0,0,0,0,2,Much #socialmedia #hate re: #transgender folk. Anyone else notice?   #LGBTQ  #trans  @FCDems  @TransLawCenter  @HuffPost  @JohnAvlon  @eqca,8.77246380728881E+017
14299,td,14327,0,0,0,0,1,Is this napK bitch retarded or stupid wtf would you request me didn't she read my bio it's pretty&#8230; http://t.co/ReqHlHHml4,
13119,td,13147,0,0,0,0,1,I looked retarded,
2856,td,2880,0,0,0,0,1,And bitch you must be lost &#128514;&#128514;,
17763,td,17791,0,0,0,0,1,RT @GbOSMG: y'all gotta stop pumping these ugly hoes heads up &#128567;,
4413,td,4441,0,0,0,0,2,&#9733; BEST ASIAN MASSAGE ON THE park slope --TOP RATED SPA &#9733; 718-622-0221 - 24 http://t.co/sPVogfyXZT,
15137,td,15165,0,0,0,0,1,Make my burger bitch &#128514;&#128514; http://t.co/StVEpVMzZz,
21068,td,21096,0,0,0,0,2,"RT @beauty_briii: One of my classmates offered my teacher and brownie and someone said ""you trying to earn brownie points"" &#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;",
23371,td,23399,0,0,0,0,1,So basically I reflected a lot on how for now I make fire my bitch day to day.,
10950,td,10978,0,0,0,0,2,Conoc&#237; tus ojos negros  Y ahora si que no puedo vivir sin ellos,
24157,td,24185,0,0,0,0,1,These bitches irritating,
21694,td,21722,0,0,0,0,1,RT @irielee12: @drrrruuuu @Victoria_Finae ayyy what fags,
20528,td,20556,0,0,0,0,1,RT @WorldStarFunny: when ling ling talkin shit &amp; u finally understand her https://t.co/2KlOnqhsi9,
17626,td,17654,0,0,0,0,1,RT @FirearmsDaily: Statistics don't lie if you like gun control you're a queer guy. #FD,
6340,td,6368,0,0,0,0,1,@LessonswithKate - I'm jst fckn w/ you.&#128514; I've always wanted to jigg hella good too. we jst not wild enough to be in the circle cuz.&#128557;,
22531,td,22559,0,0,0,0,1,RT @taylormrake: People beg to see women's bodies but the minute they're seen that woman is now a hoe oh okay,
21166,td,21194,0,0,0,0,1,RT @chanelisabeth: happy 17th birthday to my main hoe and partner in crime #bountyhunters4lyfe &#127881;&#128299; @Whitecholo23,
9997,td,10025,0,0,0,0,1,All I want for my birthday is a big booty hoe.,
14433,td,14461,0,0,0,0,1,Its funny how bitches nag me they jus mad they cant have me,
7175,td,7203,0,0,0,0,0,@StarkFreeOrDie ...I fuckin' want OUT&gt; I'm tired of this bullshit faggot ass closet racist wannabe-commune-without-railroad state&gt; #Cali,
11912,td,11940,0,0,0,0,1,Gonna drink and talk about bitches that I've almost had.,
16124,td,16152,0,0,0,0,1,Only white trash and morons are offended by the #Redskins team name. #Liberalism,
4419,td,4447,0,0,0,0,2,&#9733;@&#9733;@&#9733;@&#9733;@&#9733; GRAND OPENING ! &#9733;@&#9733;@&#9733;@&#9733;@&#9733; TOP CLASS &#9733; Oriental Massage &#9733; PERFECT !&#9733; http://t.co/zibllnm1ZS,
25663,td,25691,0,0,0,0,1,You ain't my main bitch so why the FUCC do you care !!!???,
22879,td,22907,0,0,0,0,1,RT if one of your followers sell pussy but hop on Twitter like they got all the morals and class,
5937,td,5965,0,0,0,0,1,"@InFaMouS_StAcKz hell no cause Brad still walked away like "" yeah i fucked that niggas bitch "" &#128514;",
7998,td,8026,0,0,0,0,1,@b_shiznitt cum thru bitch,
13162,td,13190,0,0,0,0,2,I love wearing fuzzy socks to work,
6863,td,6891,0,0,0,0,1,@PrimoMars nicca u read what i typed u aint slo by a long shot dont play dumb now litebrite lol,
2286,c,2307,0,0,0,0,2,#Alizz Islamic Bank adds more winners for #Hasalti children's account for #Ramadhan https://t.co/lK8lMW4c8K https://t.co/ii9c4IF9jm,8.75020763732095E+017
17743,td,17771,0,0,0,0,1,RT @GODLOVESUGLYY_: You tell me I'm beautiful like you tell every other bitch. Come on sir. #dobetter,
15555,td,15583,0,0,0,0,1,My phone is finally back on bitches! no more TextNow,
15404,td,15432,0,0,0,0,1,My bitch bad piece yo bitch got bad feet &#128514;&#128514;,
15442,td,15470,0,0,0,0,1,My dad goes son of a bitch and just lights a cigarette in the kitchen... Oh&#128514;&#128514;&#128514;&#128514;,
6148,td,6176,0,0,0,0,1,@JunDishes or a southern bitch like me who will blow a persons heart out of their back w/one shot!!!!,
23242,td,23270,0,0,0,0,1,Shoutout to my Mamma cause she Ain't Raise no hoe,
8763,td,8791,0,0,0,0,2,@kamkamluvsblk Yeah one called me a race traitor lol,
23952,td,23980,0,0,0,0,2,The bird is the word. #EsuranceSave30,
16842,td,16870,0,0,0,0,1,RT @BlackOutNinja15: What a bitch.,
8604,td,8632,0,0,0,0,1,@intheKCmix Simmons acted like a bitch when Doc left for LA.. &#128514;&#128514;,
19876,td,19904,0,0,0,0,1,RT @SteveStfler: when you're in public with your side hoe http://t.co/365oqX2sTx,
17225,td,17253,0,0,0,0,1,"RT @CreepGawddess: ""Uhh bitch don't tell him ""Bless you."" when he sneeze. He got all the blessings he need with ME."" http://t.co/z4P52LbfeK",
20553,td,20581,0,0,0,0,1,RT @YABOYLILB: teacher: eyes on your own paper  me: bitch i only have eyes for da paper  *throws cash everywhere*,
9073,td,9101,0,0,0,0,1,@matty_2_fatty fuck you bitch where's my sleeve,
14602,td,14630,0,0,0,0,1,Just touch down in Jamaica tryna smoke two acres . Send a nigguh to his makerr,
25077,td,25105,0,0,0,0,1,What's up with all these bitches in bed clothes...? Walking the streets like that shit is cute.,
16424,td,16452,0,0,0,0,1,RT @1JohnnyCinco: You can't go wrong with a loyal bitch.,
14735,td,14763,0,0,0,0,2,Lakers are a purple and yellow garbage can,
12843,td,12871,0,0,0,0,1,I had a dope ass parlay this week with San Fran... woulda won but them hoes ran back the pick 6. SHIT BE RIGGED YO!,
1448,c,1468,0,0,0,0,2,After the London Bridge attack Murdoch's media called for 'less Islam'. In fact we need less Murdoch. Join the call! https://t.co/d2Iyzaee0c,8.77238444325564E+017
10746,td,10774,0,0,0,0,1,Can really hold phone convos in my house with this trash ass service,
